title,category,authors,publisher,registeredDate,doingsChoices,link,memo
엄마는 페미니스트,가족과 모성,치마만다 응고지 아디치에,민음사,2018-09-21,http://cafedoing.com/221174810507,https://book.naver.com/bookdb/book_detail.nhn?bid=12452635,
엄마도 아프다,가족과 모성,김고연주 외,이후,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=10535092,
엄마되기의 민낯,가족과 모성,신나리,연필,2019-03-07,http://cafedoing.com/221482365319,https://book.naver.com/bookdb/book_detail.nhn?bid=14115878,
엄마됨을 후회,가족과 모성,오나 도나스,반니,2018-09-21,http://cafedoing.com/221176509411,https://book.naver.com/bookdb/book_detail.nhn?bid=11070006,
엄마라는 직업,가족과 모성,헴마 카노바스 사우,이마,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=10440267,
엄마의 독서,가족과 모성,정아은,한겨레출판,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=13240307,
엄마의 탄생,가족과 모성,김보성,오월의봄,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=8403890,
여성과 일상생활,가족과 모성,크리스토퍼 래쉬,문학과지성사,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=151118,
올 어바웃 러브,가족과 모성,벨 훅스,책읽는수요일,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=7033228,
요즘 것들의 사생활-결혼생활탐구,가족과 모성,이혜민,900KM,2018-12-22,,http://book.naver.com/bookdb/book_detail.nhn?bid=13804031,
우리는 서로를 구할 수 있을까,가족과 모성,정지민,낮은산,2019-10-06,,https://book.naver.com/bookdb/book_detail.nhn?bid=15511933,
우리는 왜 아이를 갖는가 ,가족과 모성,크리스틴 오버롤,부글북스,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=6865164,
이상한 정상가족,가족과 모성,김희경,동아시아,2018-09-21,http://cafedoing.com/221226350780,https://book.naver.com/bookdb/book_detail.nhn?bid=12785283,
진화하는 결혼,가족과 모성,스테파니 쿤츠,작가정신,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=6000020,
처음부터 엄마는 아니었어,가족과 모성,장수연,어크로스,2018-09-21,,,
페미니스트도 결혼하나요?,가족과 모성,부너미,민들레,2019-03-04,http://cafedoing.com/221479846803,https://book.naver.com/bookdb/book_detail.nhn?bid=14598979,
페미니즘의 시각에서 본 가족,가족과 모성,배리 소온,한울아카데미,2018-09-21,http://cafedoing.com/221313737249,https://book.naver.com/bookdb/book_detail.nhn?bid=6072628,
환장할 우리 가족,가족과 모성,홍주현,문예출판사,2019-05-02,http://cafedoing.com/221529083521,https://book.naver.com/bookdb/book_detail.nhn?bid=14723592,
6도의 악몽,기후와 환경 / 에코페미니즘,마크 라이너스,세종서적,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=5255976,
가이아,기후와 환경 / 에코페미니즘,J.E.러브록,범양사,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=146618,
고기가 아니라 생명입니다,기후와 환경 / 에코페미니즘,"황주영, 안백린",들녘,2020-05-15,,http://book.naver.com/bookdb/book_detail.nhn?bid=15517593,
꿈꾸는 지렁이들,기후와 환경 / 에코페미니즘,꿈지모,환경과생명,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=124130,
나의 비거니즘 만화,기후와 환경 / 에코페미니즘,보선,푸른숲,2020-03-15,,http://book.naver.com/bookdb/book_detail.nhn?bid=16122108,
다시 꾸며보는 세상,기후와 환경 / 에코페미니즘,다이아몬드 오렌스타인,이대출판부,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=32578,
덜 소비하고 더 존재하라,기후와 환경 / 에코페미니즘,여성환경연대(강남순 김현미 외),시금치,2018-09-21,http://cafedoing.com/221158570560,https://book.naver.com/bookdb/book_detail.nhn?bid=10702428,
"동물과 대화하는 아이, 티피",기후와 환경 / 에코페미니즘,티피 드그레,사람사는 세상,2020-02-13,,https://book.naver.com/bookdb/book_detail.nhn?bid=158904,
래디컬 에콜로지,기후와 환경 / 에코페미니즘,캐롤린 머천트,이후,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=2929704,
"말,살,흙",기후와 환경 / 에코페미니즘,그린비,스테이시 엘러이모,2018-11-04,http://cafedoing.com/221405925886,https://book.naver.com/bookdb/book_detail.nhn?bid=14076035,
비건 세상 만들기,기후와 환경 / 에코페미니즘,토바이어스 리나르트,두루미출판사,2020-04-03,http://cafedoing.com/221888957925,https://book.naver.com/bookdb/book_detail.nhn?bid=16303173,
사육과 육식,기후와 환경 / 에코페미니즘,리처드 W. 불리엣,알마,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=4514757,
아론의 송아지,기후와 환경 / 에코페미니즘,임택규,새물결플러스,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=11502845,
"아무튼, 비건",기후와 환경 / 에코페미니즘,김한민,위고,2020-05-15,,http://book.naver.com/bookdb/book_detail.nhn?bid=14260966,
에코페미니즘,기후와 환경 / 에코페미니즘,마리아 미스,창작과비평사,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=3582,
"여성, 녹색세상을 말하다 (창간준비호)",기후와 환경 / 에코페미니즘,여성환경연대,,2018-09-21,,,
여성이 새로 짜는 세상,기후와 환경 / 에코페미니즘,21세기 여성과 환경,박영률출판사,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=80257,
우리들의 채식일기,기후와 환경 / 에코페미니즘,베지쑥쑥,베지쑥쑥,2020-03-24,,,
원자력 신화로부터의 해방,기후와 환경 / 에코페미니즘,다카기 진자부로,녹색평론사,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=6625665,
육식의 성정치,기후와 환경 / 에코페미니즘,캐럴 제이 애덤스,이매진,2020-03-24,,http://book.naver.com/bookdb/book_detail.nhn?bid=14146426,
육식의 종말,기후와 환경 / 에코페미니즘,제레미 리프킨,시공사,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=17680,
이렇게 하루하루 살다보면 세상도 바뀌겠지,기후와 환경 / 에코페미니즘,"안현진, 진은선, 황주영, 배보람, 용윤신, 김주온, 유비, 김신효정",이매진,2020-02-06,,http://book.naver.com/bookdb/book_detail.nhn?bid=16235758,
인간의 그늘에서,기후와 환경 / 에코페미니즘,제인구달,사이언스북스,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=66691,
자급의 삶은 가능한가-힐러리에게 암소를,기후와 환경 / 에코페미니즘,마리아 미즈,동연,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=7275539,
자연과 지식의 약탈자들,기후와 환경 / 에코페미니즘,반다나 시바,당대,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=60544,
죽음의 밥상,기후와 환경 / 에코페미니즘,"피터 싱어, 짐 메이슨",산책자,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=4522607,
"착한 에너지 기행 : 기후정의 원정대, 진짜 녹색을 찾아 세계를 누비다",기후와 환경 / 에코페미니즘,"김현우, 이강준, 이영란, 이정필, 이진우, 조보영, 한재각",이매진,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=6368009,
채식의 철학,기후와 환경 / 에코페미니즘,토니 밀리건,휴머니스트,2020-03-24,,http://book.naver.com/bookdb/book_detail.nhn?bid=14488682,
채식주의를 넘어서,기후와 환경 / 에코페미니즘,고미송,푸른사상,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=6768973,
해러웨이 선언문,기후와 환경 / 에코페미니즘,도나 해러웨이,책세상,2019-08-21,,http://book.naver.com/bookdb/book_detail.nhn?bid=15132590,
8998:헬조선의 여자들,매거진,고함20,고함20,2018-09-21,http://cafedoing.com/221010891672,,
"계간 홀로 -  13호, 13호 소책자",매거진,계간홀로 편집부,계간홀로 편집부,2018-12-30,,,
"계간 홀로 -  6, 7, 8, 9, 10, 11호 ",매거진,계간홀로 편집부,계간홀로 편집부,2018-09-21,,,
"계간 홀로- 창간호, 2, 3, 5호",매거진,계간홀로 편집부,계간홀로 편집부,2018-12-22,,,
"과학잡지 에피 1,4,9호",매거진,이음,이음,2019-09-04,,,
나이이즘 vol.1,매거진,나이이즘,나이이즘,2019-01-17,,,
내 눈에 사과,매거진,20대 총여학생회,틈을 누비다,2018-09-21,,,
녹지(중앙대 여성주의 교지)  (4권),매거진,중앙대,교지편집위원회,2018-09-21,,,
농촌 성문화 다시보기,매거진,문화기획달,문화기획달,2018-09-21,,,
농촌 페미니즘 에공공,매거진,문화기획달,문화기획달,2018-12-05,,,
누락된 기록Ⅱ: 증언의 힘 ,매거진,맹정환 김상규,에무,2018-09-21,,,
달찌라시 vol.2 2017,매거진,지글스,문화기획달,2018-09-21,,,
딴짓 매거진 시즌2 vol.1,매거진,딴짓시스터즈,딴짓 매거진,2019-10-30,,,
말과활 14 리버럴과의 투쟁,매거진,말과활 편집부,일곱번째숲,2018-09-21,,,
몸 / 섹슈얼리티 (서울대 여성주의),매거진,서울대학교 여성주의 자치언론,쥬이쌍스,2018-09-21,,,
바꿈F 페미니즘교육 2018 가을호,매거진,전국교직원노동조합 여성위원회,전국교직원노동조합 여성위원회,2019-01-04,,,
변태 (이화여대 레즈비언운동),매거진,변태소녀하늘을 날다,변태소녀하늘을 날다,2018-09-21,,,
"별별 Vol.2, 3 ",매거진,별류가든,뱔류가든,2019-03-20,,,
비혼지향생활자를 위한 계간 공덕동 하우스 2018 가을호,매거진,공덕동 하우스,공덕동 하우스,2018-11-06,http://cafedoing.com/221394111024,,
사막여우 창간준비 2호,매거진,여우책방,사막여우,2018-12-12,,,
사심 1~6호,매거진,잡지사심,잡지사심,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=10964858,
"석순 30, 33, 36, 43, 46, 48호",매거진,석순편집위원회,고려대,2018-09-21,http://cafedoing.com/221316442577,,
"소문자 에프 01, 02호",매거진,소문자에프 편집부,소문자에프 편집부,2018-09-21,,,
언니네 마당 08호,매거진,언니네 마당 편집부,언니네 마당 편집부,2018-09-21,,,
"여/성이론 03, 08, 13호",매거진,여성문화이론연구소,여이연,2018-09-21,,,
여성과 인권 15~20호,매거진,한국여성인권진흥원,한국여성인권진흥원,2018-01-22,,,
여세: 여성이 살리는 세상 제1-6호,매거진,한국YWCA연합회,한국YWCA연합회,2019-03-02,,,
일상,매거진,획기적인여자들,획기적인여자들,2019-01-17,,,
일터  2019.3,매거진,한국노동안전보건연구소,한국노동안전보건연구소,2019-03-20,,,
자음과 모음 34호,매거진,자음과모음 편집부,자음과모음,2018-09-21,,,
정정헌 38호,매거진,정정헌 교지편집위원회,성균관대학교 정정헌,2018-09-21,,,
젠더와 문화 (2014년/ 제7권 1호),매거진,계명대학교 여성학연구소,계명대학교 여성학연구소,2018-09-21,,,
젤리와 만년필 (창간호),매거진,고양이문예지,유음,2018-09-21,,https://tumblbug.com/theyueum1,
"지글스 2, 3, 5~14호",매거진,지글스,문화기획달,2018-09-21,,,
"퀴어페미니스트매거진 펢 01, 02, 03, 04호",매거진,언니네트워크,언니네트워크,2018-09-21,http://cafedoing.com/221169003816,,
턴-오프 타임,매거진,턴오프타임 편집부,턴오프타임,2018-09-21,,,
BOSHU,매거진,BOSHU,BOSHU,2019-03-02,,,
e2,매거진,부산대학교 성소주자 인권 동아리 Queer In PNU,부산대,2018-09-21,,,
feminist journal if (이프),매거진,이프 편집부,도서출판 이프,2018-09-21,,,"2000여름/2000가을,겨울/2002겨울/2003봄/2004봄/2004가을"
Graphic Novel 28호,매거진,그래픽 노블 편집부,PB,2018-09-21,,,
Her:dle vol.1,매거진,혀들,혀들,2019-01-01,,,
"Littor 02, 05호",매거진,릿터 편집부,민음사,2018-09-21,,,
"movie, feminism vol.01, 02, 03",매거진,무비 페미니즘 편집부,무비 페미니즘,2018-09-21,,,
N 2호,매거진,성공회대 n 편집위원회,성공회대,2018-09-21,,,
"R 소수성의 정치학 (창간호, 2007)",매거진,부커진 R 편집부,그린비,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=2910821,
"SECOND 1(초판), 1(개정판), 2, 3권",매거진,누나온더비치,누나온더비치,2018-09-21,http://cafedoing.com/221332486460,,
"VOSTOK 01, 03호",매거진,보스토크프레스,보스토크프레스,2018-09-21,http://cafedoing.com/220966092203,,
"womankind 01, 02, 03, 04호",매거진,우먼카인드 편집부,바다출판사,2018-09-21,http://cafedoing.com/221142966747,,
WSW (We are Still Working) vol.1,매거진,WSW,WSW,2019-11-08,http://cafedoing.com/221702009226,,
WSW (We are Still Working) vol.2,매거진,WSW,WSW,2019-12-18,,,
WSW (We are Still Working) vol.3,매거진,WSW,WSW,2020-01-30,,,
네 방에 아마존을 키워라,몸 / 섹슈얼리티,베티 도슨,현실문화연구,2018-09-21,http://cafedoing.com/220983300730,https://book.naver.com/bookdb/book_detail.nhn?bid=87911,
닥터 페미니스트 여자의 몸을 말하다,몸 / 섹슈얼리티,문현주,서유재,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=11282738,
당신이 숭배하든 혐오하든,몸 / 섹슈얼리티,김명희,낮은산,2019-10-06,,https://book.naver.com/bookdb/book_detail.nhn?bid=15511931,
당신이 자유워졌다고 믿는 사이에,몸 / 섹슈얼리티,마리안느 뒤라노,책밥,2019-07-17,http://cafedoing.com/221595532939,https://book.naver.com/bookdb/book_detail.nhn?bid=14821044,
당하는 여자 하는 남자,몸 / 섹슈얼리티,김종갑,다른,2020-03-25,,http://book.naver.com/bookdb/book_detail.nhn?bid=15989501,
뚱뚱해서 죄송합니까,몸 / 섹슈얼리티,한국여성민우회,후마니타스,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=7372908,
마이 버자이너,몸 / 섹슈얼리티,옐토 드렌스,동아시아,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=11627789,
몸 숭배와 광기,몸 / 섹슈얼리티,발트라우트 포슈,여성신문사,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=1473567,
몸에 갇힌 사람들,몸 / 섹슈얼리티,수지 오바크,창비,2018-09-21,http://cafedoing.com/220983300730,https://book.naver.com/bookdb/book_detail.nhn?bid=6703127,
몸의 말들,몸 / 섹슈얼리티,"강혜영, 고권금, 구현경, 백세희, 이현수, 치도, 한가람, 황도",아르테,2020-04-24,,http://book.naver.com/bookdb/book_detail.nhn?bid=16283140,
무엇이 아름다움을 강요하는가 ,몸 / 섹슈얼리티,나오미 울프,김영사,2018-09-21,https://blog.naver.com/cafedoing/221537468801,https://book.naver.com/bookdb/book_detail.nhn?bid=11992232,
배드 걸 굿 걸,몸 / 섹슈얼리티,수전 J. 더글러스,글항아리,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=10567821,
버자이너 모놀로그,몸 / 섹슈얼리티,이브 엔슬러,북하우스,2018-09-21,http://cafedoing.com/221237897368,https://book.naver.com/bookdb/book_detail.nhn?bid=6082389,
버자이너 문화사,몸 / 섹슈얼리티,옐토 드렌스,동아시아,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=2921239,
살 빼려고 운동하는 거 아닌데요,몸 / 섹슈얼리티,신한슬,휴머니스트,2019-10-11,,http://book.naver.com/bookdb/book_detail.nhn?bid=15512778,
새로 쓰는 성이야기,몸 / 섹슈얼리티,편지부,또하나의문화,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=76492,
성스러운 유방사,몸 / 섹슈얼리티,다케다 마사야,아르테,2019-08-14,http://cafedoing.com/221627130342,http://book.naver.com/bookdb/book_detail.nhn?bid=15258313,
성의 역사 1,몸 / 섹슈얼리티,미셸 푸코,나남,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=153645,
성의 역사 2,몸 / 섹슈얼리티,미셸 푸코,나남,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=148140,
성의 역사 3,몸 / 섹슈얼리티,미셸 푸코,나남,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=154814,
성의 정치 성의 권리,몸 / 섹슈얼리티,"권김현영, 루인, 김주희, 한채윤, 류진희",자음과모음,2018-09-21,http://cafedoing.com/220957857055,https://book.naver.com/bookdb/book_detail.nhn?bid=7105743,
섹슈얼리티 : 성의 정치 ,몸 / 섹슈얼리티,제프리 윅스,현실문화연구,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=1561823,
"섹슈얼리티 강의, 두번쨰",몸 / 섹슈얼리티,한국성폭력상담소 저,동녘,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=2103856,
섹슈얼리티 지리학,몸 / 섹슈얼리티,"캐스 브라운, 개빈 브라운, 제이슨 림",이매진,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=13953284,
섹스와 돈,몸 / 섹슈얼리티,아일린 미핸,커뮤니케이션북스,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=7876234,
섹스화된 몸,몸 / 섹슈얼리티,전혜은,새물결,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=6281260,
아무도 대답해주지 않은 질문들,몸 / 섹슈얼리티,페기 오렌스타인,문학동네,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=12590095,
아주 작은 차이 그 엄청난 결과,몸 / 섹슈얼리티,알리스 슈바르처,미디어일다,2018-09-21,http://cafedoing.com/220983300730,https://book.naver.com/bookdb/book_detail.nhn?bid=12072097,
어떤 피도 우리를 멈출 수 없다,몸 / 섹슈얼리티,여성환경연대,여성환경연대,2019-01-25,,,
여성의 성이 성스러웠을 때,몸 / 섹슈얼리티,김명주,충남대학교출판문화원,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=13791018,
"여자, 내밀한 몸의 정체",몸 / 섹슈얼리티,나탈리 앤지어,문예출판사,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=10289458,
여자는 체력,몸 / 섹슈얼리티,박은지,메멘토,2019-10-17,,https://book.naver.com/bookdb/book_detail.nhn?bid=15619591,
여자들의 섹스북,몸 / 섹슈얼리티,한채윤,이매진,2019-06-29,,http://book.naver.com/bookdb/book_detail.nhn?bid=15028514,
여자의 몸,몸 / 섹슈얼리티,"문정희, 유인경",여백,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=9066490,
오늘부터 내 몸의 이야기를 듣기로 했어,몸 / 섹슈얼리티,하리타,동녘,2018-09-21,http://cafedoing.com/221135614126,https://book.naver.com/bookdb/book_detail.nhn?bid=12210063,
올 어바웃 섹스,몸 / 섹슈얼리티,댄 새비지,책읽는수요일,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=9937361,
외모꾸미기 미학과 페미니즘,몸 / 섹슈얼리티,김주현,책세상,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=2367123,
외모왜뭐,몸 / 섹슈얼리티,경진주 김민지 김주현 박이은실 서영미 윤나리 이가현 이안소영,북센스,2019-01-25,,https://book.naver.com/bookdb/book_detail.nhn?bid=14384935,
욕망하는 여자,몸 / 섹슈얼리티,다니엘 버그너,메디치미디어,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=7388942,
"우리들의 목소리 3 : 아시아 여성의 몸, 섹슈얼리티, 폭력",몸 / 섹슈얼리티,이화여자대학교 아시아여성학센터,이화여자대학교 출판부,2019-03-02,,https://book.naver.com/bookdb/book_detail.nhn?bid=14442631,
월경의 정치학,몸 / 섹슈얼리티,박이은실,동녘,2018-09-21,http://cafedoing.com/221083341690,https://book.naver.com/bookdb/book_detail.nhn?bid=9724079,
이기적 섹스: 그놈들의 섹스는 잘못됐다,몸 / 섹슈얼리티,은하선,동녘,2018-09-21,http://cafedoing.com/220983300730,https://book.naver.com/bookdb/book_detail.nhn?bid=9488848,
일탈: 게일 루빈 선집,몸 / 섹슈얼리티,게일 루빈,현실문화,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=9554057,
임신중지,몸 / 섹슈얼리티,에리카 밀러,아르테,2019-08-14,,http://book.naver.com/bookdb/book_detail.nhn?bid=15000779,
"즐거운 딸들 : 여자, 섹스를 말하다",몸 / 섹슈얼리티,"이연희, 지은숙",영언문화사,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=137856,
질 좋은 책,몸 / 섹슈얼리티,정수연,위즈덤하우스,2020-01-17,,http://book.naver.com/bookdb/book_detail.nhn?bid=15973737,
질문을 바꾸는 섹슈얼리티 워크북,몸 / 섹슈얼리티,한국성폭력상담소,한국성폭력상담소,2019-02-14,,http://www.sisters.or.kr/load.asp?b_code=1&idx=4608&board_md=view,
포르노그래피 : 여자를 소유하는 남자들,몸 / 섹슈얼리티,안드레아 드워킨,동문선,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=57219,
그들만의 세상: 아시아의 미군과 매매춘,성매매 성노동,산드라 스터드반트 외,잉걸,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=141019,
길 하나 건너면 벼랑 끝 ,성매매 성노동,봄날,반비출판사,2019-12-09,http://cafedoing.com/221731733957,https://book.naver.com/bookdb/book_detail.nhn?bid=15872468,
나도 말할 수 있는 사람이다,성매매 성노동,이소희 외 7명,여이연,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=13497970,
내가 제일 잘한 일,성매매 성노동,박금선,샨티,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=9577946,
너희는 봄을 사지만 우리는 겨울을 판다,성매매 성노동,성매매피해여성지원센터 살림 엮음,삼인,2018-09-21,http://cafedoing.com/221341824193,https://book.naver.com/bookdb/book_detail.nhn?bid=2511172,
매춘의 역사,성매매 성노동,"번 벌로, 보니 벌로",까치,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=115609,
붉은 벨벳앨범 속의 여인들,성매매 성노동,김애령,그린비,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=3290376,
성 시장에 대한 페미니즘의 관점들,성매매 성노동,,전기가오리,2018-12-06,,,
성노동(SEX WORKER),성매매 성노동,여성문화이론연구소 성노동연구팀,여이연,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=3122867,
성노동의 정치경제학 Sex Work ,성매매 성노동,멜리사 지라 그랜트,여문책,2018-09-21,http://cafedoing.com/221076776143,https://book.naver.com/bookdb/book_detail.nhn?bid=12096293,
"성노동자, 권리를 외치다: 밀사와 연희의 성노동 이야기",성매매 성노동,밀사,철수와영희,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=8779506,
성매매의 정치학: 성매매특별법 제정1년의 시점에서,성매매 성노동,서울대학교 여성연구소,한울,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=2518073,
성이론,성매매 성노동,고정갑희 저,여이연,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=6784742,
섹슈얼리티의 매춘화,성매매 성노동,캐슬린 배리,삼인,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=90837,
"언니, 같이 가자!",성매매 성노동,안미선,삼인,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=11355413,
청량리,성매매 성노동,이룸,이룸,2019-02-14,,https://tumblbug.com/cheongnyangri588,
축하해,성매매 성노동,박금선,샨티,2018-09-21,,https://book.naver.com/bookdb/book_detail.nhn?bid=5261774,
